category,n,raw_ece,hbrm_ece,raw_brier,hbrm_brier,improvement_pct
coronavirus,24,0.08333333333333337,0.024827475349108452,0.25,0.24367824221803916,70.20702958106988
crypto,44,0.15909090909090912,0.010219446637413698,0.25,0.22462670557794437,93.57634782791139
pop-culture,22,0.045454545454545414,0.19268302213061933,0.25,0.2855139061887018,-323.9026486873629
sports,29,0.051724137931034475,0.1190296175151036,0.25,0.2621322058875186,-130.123927195867
unknown,250,0.135202,0.09833738575642927,0.23155167299999999,0.21627701323944512,27.266323163541017
us-current-affairs,43,0.011627906976744207,0.16352528541587125,0.25,0.2713112029344098,-1306.3174545764903
