Model,Brier Score,Log Loss,ECE,Brier Skill Score
Isotonic,0.23462258455939206,0.6558614598812569,0.05650350544425365,0.03073131595951173
Logistic,0.23504802454876472,0.6577736510229856,0.057966692790458796,0.028973745777545412
HBRM (Bayes),0.23327273052592395,0.6627048687122766,0.09112519206087724,0.036307809139498715
Raw Market,0.24033106551362682,0.6684168887000183,0.09287316561844862,0.0071485401036747165
